endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	20	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.025	0.0	15	14	9	7	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	20	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.021666666666666667	0.0	13	14	9	7	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.014999999999999996	0.0	9	14	9	7	0.275	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.024999999999999994	0.009999999999999998	0.5	6	15	6	9	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	borda	Borda	Borda_Rank	lower_better	30	0.0	0.016666666666666666	0.0	15	10	14	6	0.26666666666666666	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.006666666666666662	0.0	6	10	10	10	0.2833333333333333	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.013333333333333332	0.0	12	12	10	8	0.263768115942029	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.003333333333333332	0.0	-3	10	10	10	0.23333333333333334	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.007777777777777776	0.0	7	9	13	8	0.26666666666666666	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.004444444444444445	0.0	-4	7	13	10	0.2554347826086957	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0022222222222222227	0.0	-2	9	11	10	0.23333333333333334	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.004444444444444447	0.0	-4	8	11	11	0.263768115942029	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.010833333333333334	0.0	13	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0066666666666666645	0.0	8	8	15	7	0.2554347826086957	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.010833333333333334	0.0	13	10	12	8	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.005	0.0	6	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.009999999999999998	0.0	12	10	15	5	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.006666666666666664	0.0	8	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.006666666666666665	0.0	8	10	12	8	0.25	0.25
