file	category	hla_original	count
tsnadb_validated_collected	human_classical_class_II_DR	DR11	2
tsnadb_validated_collected	human_classical_class_II_DR	HLA-DR	2
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ5	1
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ1	1
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ9	1
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw12	1
cedar_tcell	human_classical_class_II_DP	HLA-DPw3	1
cedar_tcell	human_classical_class_I_C	HLA-Cw15	1
cedar_tcell	human_classical_class_II_DQ	HLA-DQ9	1
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR12	1
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ9	1
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw12	1
iedb_tcell	human_classical_class_I_C	HLA-Cw15	1
iedb_tcell	human_classical_class_I_C	HLA-Cw18	1
tsnadb_validated_collected	human_classical_class_II_DR	DR13	1
tsnadb_validated_collected	human_classical_class_II_DR	DR14	1
tsnadb_validated_collected	human_classical_class_II_DR	DR*07:01	1
tsnadb_validated_collected	human_classical_class_II_DR	HLA-DR3	1
tsnadb_validated_collected	human_classical_class_II_DR	DR9	1
tsnadb_validated_collected	human_classical_class_II_DP	DP5	1
tsnadb_validated_collected	human_classical_class_II_DP	DP17	1
tsnadb_validated_collected	human_classical_class_II_DR	DR53	1
