endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0035430596395508674	0.0	1	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.004455149462404212	0.0	1	5	20	5	0.00820820820820821	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.002177063720003546	0.0	-5	4	19	7	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0029940626010557846	0.0	-1	5	19	6	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.005493460699045432	0.0	3	5	20	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.005023977130970315	0.0	2	5	20	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0022211661854084747	0.0	0	5	19	6	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	60	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0012216796198408644	0.0	-3	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	borda	Borda	Borda_Rank	lower_better	30	0.0	-0.013333333333333332	0.0	-4	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	1.8503717077085942e-18	0.0	0	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.006666666666666665	0.0	-2	3	25	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.003333333333333336	0.0	1	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.003333333333333336	0.0	1	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.003333333333333336	0.0	1	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.003333333333333336	0.0	1	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.013333333333333332	0.0	-4	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.003333333333333334	0.0	2	7	20	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0	0.0	0	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0	0.0	0	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0016666666666666668	0.0	1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	net_impact	Network impact	Net_Impact	higher_better	30	0.0	-0.0016666666666666663	0.0	-1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.0016666666666666663	0.0	-1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0016666666666666672	0.0	1	5	23	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.001666666666666666	0.0	-1	6	20	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	borda	Borda	Borda_Rank	lower_better	30	0.0	0.003333333333333333	0.0	3	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.003333333333333333	0.0	3	5	23	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.002222222222222222	0.0	2	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0022222222222222227	0.0	2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.002222222222222222	0.0	2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.002222222222222222	0.0	2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.00111111111111111	0.0	1	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0033333333333333327	0.0	3	7	20	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0008333333333333334	0.0	1	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0008333333333333332	0.0	1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0008333333333333334	0.0	1	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.0016666666666666666	0.0	-2	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.001666666666666667	0.0	2	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0008333333333333338	0.0	1	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0016666666666666666	0.0	2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.0016666666666666668	0.0	-2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	borda	Borda	Borda_Rank	lower_better	30	0.0	-0.0006666666666666665	0.0	-1	2	24	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	-0.002	0.0	-3	2	24	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.0006666666666666664	0.0	-1	3	23	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.001333333333333333	0.0	-2	2	23	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	net_impact	Network impact	Net_Impact	higher_better	30	0.0	-0.0013333333333333335	0.0	-2	2	23	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.002	0.0	-3	2	22	6	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0006666666666666668	0.0	1	4	21	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	topn	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.0006666666666666666	0.0	-1	4	23	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	-0.0002624207577767953	0.0	-1	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.008070912575556538	0.0	0	4	24	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.008683473389355743	0.0	-3	0	28	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.008683473389355743	0.0	-3	0	28	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	-0.003921568627450981	0.0	-2	1	27	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.003921568627450981	0.0	-2	1	27	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.008683473389355743	0.0	-3	0	28	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.003977591036414566	0.0	-3	1	27	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.001931569578628402	0.0	-2	3	24	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.006482312952901188	0.0	-2	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.0007064667358785015	0.0	-5	3	23	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.003228470875529699	0.0	-3	3	24	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0010306686777275015	0.0	-3	3	24	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0010306686777275015	0.0	-3	3	24	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0019238767768179536	0.0	-4	3	23	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.004886360915772681	0.0	-5	3	23	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	borda	Borda	Borda_Rank	lower_better	30	0.0	0.004108751348529293	0.0	-2	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0035644816140172177	0.0	-3	4	23	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0013511863342194751	0.0	-5	5	19	6	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.005279219535804203	0.0	0	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0031752492927362153	0.0	-2	5	20	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.002249323366810289	0.0	-3	4	21	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0020047811054613057	0.0	-4	5	19	6	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.003354073114135034	0.0	-2	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0014017732091640264	0.0	-1	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	-2.0310263666518425e-05	0.0	-3	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.0001584379668168618	0.0	-7	4	19	7	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0013794133880425956	0.0	-1	3	23	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	-0.001957118387788304	0.0	-4	3	22	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.0013330049126109992	0.0	-4	3	22	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0007866680684018147	0.0	-4	3	22	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.0014277319339167246	0.0	-3	4	21	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide_hla	Exact peptide + HLA	percent	50	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0020681557511091197	0.0	1	5	21	4	0.0	0.0
