sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	50	Borda	0.21739130434782608
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	1	Borda	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	5	Borda	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	10	Borda	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	20	Borda	0.2
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	10	IC50-only	0.1
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	20	IC50-only	0.2
TCGA-BF-A3DL	min8	Min-8 containment	Top-N	50	IC50-only	0.21739130434782608
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DL	min8	Min-8 containment	Top-percentile	20	IC50-only	0.1
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.15
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.10869565217391304
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.1
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	10	IC50-only	0.1
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	20	IC50-only	0.05
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-N	50	IC50-only	0.10869565217391304
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DL	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	IC50-only	0.1
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.05
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.021739130434782608
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	10	IC50-only	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	20	IC50-only	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-N	50	IC50-only	0.021739130434782608
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DL	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	10	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	20	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-N	50	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	IC50-only	0.0
TCGA-BF-A3DL	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	IC50-only	0.0
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	10	Borda	0.3
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	20	Borda	0.3
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	50	Borda	0.2
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	1	Borda	0.0
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	5	Borda	0.4
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	10	Borda	0.3
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	20	Borda	0.2631578947368421
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	10	IC50-only	0.4
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	20	IC50-only	0.2
TCGA-BF-A3DM	min8	Min-8 containment	Top-N	50	IC50-only	0.22
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	1	IC50-only	1.0
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	5	IC50-only	0.6
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	10	IC50-only	0.4
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	20	IC50-only	0.21052631578947367
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.15
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.08
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.1
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.10526315789473684
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	10	IC50-only	0.2
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	20	IC50-only	0.1
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	50	IC50-only	0.06
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	IC50-only	1.0
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	IC50-only	0.4
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	IC50-only	0.2
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	IC50-only	0.10526315789473684
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	10	IC50-only	0.0
