sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate	ic50_hit_rate	hit_rate_difference_vs_ic50
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	5	Borda	0.4	0.6	-0.19999999999999996
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	10	Borda	0.3	0.4	-0.10000000000000003
TCGA-BF-A3DM	min8	Min-8 containment	Top-percentile	20	Borda	0.2631578947368421	0.21052631578947367	0.05263157894736842
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1	0.2	-0.1
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.15	0.1	0.04999999999999999
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.08	0.06	0.020000000000000004
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0	1.0	-1.0
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0	0.4	-0.4
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.1	0.2	-0.1
TCGA-BF-A3DM	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.10526315789473684	0.10526315789473684	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DM	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A3DN	min8	Min-8 containment	Top-N	10	Borda	0.2	0.3	-0.09999999999999998
TCGA-BF-A3DN	min8	Min-8 containment	Top-N	20	Borda	0.3	0.25	0.04999999999999999
TCGA-BF-A3DN	min8	Min-8 containment	Top-N	50	Borda	0.2608695652173913	0.2608695652173913	0.0
TCGA-BF-A3DN	min8	Min-8 containment	Top-percentile	1	Borda	1.0	0.0	1.0
TCGA-BF-A3DN	min8	Min-8 containment	Top-percentile	5	Borda	0.5	0.0	0.5
TCGA-BF-A3DN	min8	Min-8 containment	Top-percentile	10	Borda	0.3333333333333333	0.3333333333333333	0.0
TCGA-BF-A3DN	min8	Min-8 containment	Top-percentile	20	Borda	0.2	0.2	0.0
